,name,brand,price,rating,total_ratings,description,image_link,link
0,Apple AirPods Charging Latest Model,Apple,,4.6,,Apple AirPods with Charging Case,,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q/ref=lp_17938598011_1_1/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-1
1,Oculus Quest All Gaming Headset android,Oculus,,4.8,,Oculus Quest All-in-one VR Gaming Headset â€“ 128GB,,https://www.amazon.com/Oculus-Quest-All-Gaming-Headset-android/dp/B07PRDGYTW/ref=lp_17938598011_1_6/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-6
2,AmazonBasics Performance Alkaline Batteries Count,AmazonBasics,$10.99,4.5,,AmazonBasics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36,,https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00LH3DMUO/ref=lp_17938598011_1_9_a_it/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-9
3,Kasa Smart Light Switch TP Link,Kasa-Smart,,4.5,,"Kasa Smart Light Switch by TP-Link, Single Pole, Needs Neutral Wire, 2.4Ghz WiFi Light Switch Works with Alexa and Google Assistant, UL Certified, 1-Pack (HS200), White",,https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=lp_17938598011_1_8/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-8
4,Seiko SNK807 Automatic Stainless Canvas,Seiko,$78.98,4.2,,Seiko Men's SNK807 Seiko 5 Automatic Stainless Steel Watch with Blue Canvas Band,,https://www.amazon.com/Seiko-SNK807-Automatic-Stainless-Canvas/dp/B006CHML4I/ref=lp_17938598011_1_10/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-10
5,HP Printer Paper Office20 172160R,HP+Papers,$5.99,4.7,,"HP Printer Paper Office 20lb, 8.5x 11, 1 Ream, 500 Sheets, Made in USA From Forest Stewardship Council (FSC) Certified Resources, 92 Bright, Acid Free, Engineered for HP Compatibility, 172160R",,https://www.amazon.com/HP-Printer-Paper-Office20-172160R/dp/B0090YJBYS/ref=lp_17938598011_1_11/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-11
6,Dickies Multi Pack Dri Tech Moisture Control,Dickies,$12.99 - $33.57,4.6,,Dickies Men's Dri-tech Moisture Control Crew Socks Multipack,,https://www.amazon.com/Dickies-Multi-Pack-Dri-Tech-Moisture-Control/dp/B004QF0TFQ/ref=lp_17938598011_1_3/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-3
7,Elgato Stream Deck Controller customizable,Corsair,$149.99,4.7,,"Elgato Stream Deck - Live Content Creation Controller with 15 Customizable LCD Keys, Adjustable Stand, for Windows 10 and macOS 10.11 or later",,https://www.amazon.com/Elgato-Stream-Deck-Controller-customizable/dp/B06XKNZT1P/ref=lp_17938598011_1_12/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-12
8,Ravensburger 27597 Gravitrax Starter Multi,Ravensburger,$59.95,4.7,,Ravensburger Gravitrax Starter Set Marble Run & STEM Toy For Kids Age 8 & Up - Endless Indoor Activity for Families,,https://www.amazon.com/Ravensburger-27597-Gravitrax-Starter-Multi/dp/B07B7HNLMG/ref=lp_17938598011_1_13/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-13
9,Affresh Washer Machine Cleaner 6 Tablets,affresh%C2%AE+appliance+care,,4.5,,"Affresh W10501250 Washing Machine Cleaner, 6 Tablets: Cleans Front Load and Top Load Washers, Including HE,White",,https://www.amazon.com/Affresh-Washer-Machine-Cleaner-6-Tablets/dp/B00C91Q86I/ref=lp_17938598011_1_14/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-14
10,Champion Powerblend Retro Fleece Jogger,Champion,$16.77 - $35.96,4.6,,Champion Men's Powerblend Retro Fleece Jogger Pant,,https://www.amazon.com/Champion-Powerblend-Retro-Fleece-Jogger/dp/B01H7HOR2K/ref=lp_17938598011_1_16/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-16
11,LAMAZE L27901 Lamaze Peek A Boo Forest,Lamaze+Toys,$14.99,4.8,,"Lamaze Peek-A-Boo Forest, Fun Interactive Baby Book with Inspiring Rhymes and Stories",,https://www.amazon.com/LAMAZE-L27901-Lamaze-Peek-A-Boo-Forest/dp/B0043D28B4/ref=lp_17938598011_1_4_a_it/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-4
12,AmazonBasics Portable Foldable Photo Studio,AmazonBasics,$141.00,4.5,,AmazonBasics Portable Foldable Photo Studio Box with LED Light - 25 x 30 x 25 Inches,,https://www.amazon.com/AmazonBasics-Portable-Foldable-Photo-Studio/dp/B01GIL6EU4/ref=lp_17938598011_1_15/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-15
13,NETGEAR Wi Fi Range Extender EX3700,NETGEAR,$35.12,3.8,,"NETGEAR WiFi Range Extender EX3700 - Coverage up to 1000 sq.ft. and 15 devices with AC750 Dual Band Wireless Signal Booster & Repeater (up to 750Mbps speed), and Compact Wall Plug Design",,https://www.amazon.com/NETGEAR-Wi-Fi-Range-Extender-EX3700/dp/B00R92CL5E/ref=lp_17938598011_1_2/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-2
14,Zevro KCH 06100 Gravity Magnetic Canisters,ZevrO,$24.49,3.8,,Zevro KCH-06100 Zero Gravity Magnetic Spice Rack with 12 Canisters,,https://www.amazon.com/Zevro-KCH-06100-Gravity-Magnetic-Canisters/dp/B000EQHP3K/ref=lp_17938598011_1_7/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-7
15,AmazonBasics Performance Alkaline Batteries Count,AmazonBasics,$16.31,4.4,,AmazonBasics AA 1.5 Volt Performance Alkaline Batteries - Pack of 48,,https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00MNV8E0C/ref=lp_17938598011_1_5_a_it/142-9252318-8145427?srs=17938598011&ie=UTF8&qid=1590116733&sr=8-5
